"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","STATE_NAME","COUNTY_NAME","ARPT_NAME","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","ELEV","ELEV_METHOD_CODE","MAG_VARN","MAG_HEMIS","MAG_VARN_YEAR","ICAO_ID","facility_use"
"2026/09/03","17142.11","A","NC","83NR","STATESVILLE","US","NORTH CAROLINA","IREDELL","WOOTENS",35,42,40.3447,"N",35.71120686,80,58,10.5997,"W",-80.96961102,944,"E",NA,"",NA,"","private"
"2026/09/03","17142.81","A","NC","75NC","STOKESDALE","US","NORTH CAROLINA","GUILFORD","MEYLOR LANDING",36,13,16.5,"N",36.22125,80,2,0,"W",-80.03333333,880,"E",NA,"",NA,"","private"
"2026/09/03","17143.51","A","NC","3NC5","STONY POINT","US","NORTH CAROLINA","IREDELL","FLYING BJ",35,48,48.13,"N",35.81336944,81,4,9.27,"W",-81.06924166,1000,"E",6,"W",1995,"","private"
"2026/09/03","17144.19","H","NC","40NC","SUNBURY","US","NORTH CAROLINA","GATES","SUNBURY FIRE DEP",36,26,16.8685,"N",36.43801902,76,36,29.77,"W",-76.60826944,38,"E",10,"W",2025,"","private"
"2026/09/03","17145.","A","NC","NC43","SUPPLY","US","NORTH CAROLINA","BRUNSWICK","BEAR PEN",34,7,30.612,"N",34.12517,78,20,17.009,"W",-78.33805805,63,"S",7,"W",1985,"","private"
"2026/09/03","17145.02","H","NC","12NR","SUPPLY","US","NORTH CAROLINA","ALAMANCE","BRUNSWICK NOVANT MEDICAL CENTER",34,1,47.812,"N",34.02994777,78,15,38.035,"W",-78.26056527,38,"E",NA,"",NA,"","private"
"2026/09/03","17147.5","A","NC","NJM","SWANSBORO","US","NORTH CAROLINA","CARTERET","BOGUE FLD MCALF",34,41,25.165,"N",34.69032361,77,1,43.841,"W",-77.02884472,21,"E",8,"W",1985,"KNJM","private"
"2026/09/03","17148.5","A","NC","24A","SYLVA","US","NORTH CAROLINA","JACKSON","JACKSON COUNTY",35,19,1.96,"N",35.31721111,83,12,34.933,"W",-83.20970361,2857,"S",5,"W",2000,"","public"
"2026/09/03","17148.51","H","NC","68NR","SYLVA","US","NORTH CAROLINA","JACKSON","HARRIS RGNL HOSPITAL",35,23,6.96,"N",35.38526666,83,12,11.97,"W",-83.203325,2222.3,"E",NA,"",NA,"","private"
"2026/09/03","17150.12","A","NC","81NC","TABOR CITY","US","NORTH CAROLINA","COLUMBUS","COX FLD",34,2,27,"N",34.04083333,78,44,24,"W",-78.74,50,"",NA,"",NA,"","private"
"2026/09/03","17154.1","A","NC","ETC","TARBORO","US","NORTH CAROLINA","EDGECOMBE","TARBORO-EDGECOMBE",35,56,14.147,"N",35.93726305,77,32,47.329,"W",-77.54648027,52.6,"S",8,"W",1985,"KETC","public"
"2026/09/03","17154.35","H","NC","50NR","TARBORO","US","NORTH CAROLINA","EDGECOMBE","ECU HEALTH EDGECOMBE",35,55,19.9979,"N",35.92222163,77,33,17.3604,"W",-77.55482233,68,"E",10,"W",2025,"","private"
"2026/09/03","17158.","A","NC","6NC4","TAYLORSVILLE","US","NORTH CAROLINA","ALEXANDER","BROWN",35,54,20.476,"N",35.90568777,81,8,22.293,"W",-81.13952583,1170,"E",5,"W",1980,"","private"
"2026/09/03","17158.1","A","NC","NC2","TAYLORSVILLE","US","NORTH CAROLINA","ALEXANDER","TAYLORSVILLE",35,55,51,"N",35.93083333,81,11,48,"W",-81.19666666,1090,"E",5,"W",1985,"","public"
"2026/09/03","17158.12","A","NC","NC58","TAYLORSVILLE","US","NORTH CAROLINA","ALEXANDER","GRYDER-TEAGUE",35,55,6.649,"N",35.91851361,81,7,10.4942,"W",-81.11958172,1180,"E",5,"W",1985,"","private"
"2026/09/03","17158.13","A","NC","NR04","TAYLORSVILLE","US","NORTH CAROLINA","ALEXANDER","SOUTHERN SKIES",35,57,37,"N",35.96027777,81,10,23,"W",-81.17305555,1180,"E",NA,"",NA,"","private"
"2026/09/03","17158.2","A","NC","NC59","TAYLORSVILLE","US","NORTH CAROLINA","ALEXANDER","ALEXANDER COUNTY",35,51,2.477,"N",35.85068805,81,8,38.293,"W",-81.14397027,1110,"E",5,"W",1985,"","private"
"2026/09/03","17162.1","A","NC","N97","THOMASVILLE","US","NORTH CAROLINA","DAVIDSON","HIATT",35,49,48.492,"N",35.83013666,80,6,27.161,"W",-80.10754472,855,"E",10,"W",2000,"","public"
"2026/09/03","17162.12","A","NC","NC31","THOMASVILLE","US","NORTH CAROLINA","RANDOLPH","QUIET ACRES",35,45,53.49,"N",35.76485833,80,1,27.151,"W",-80.02420861,740,"E",6,"W",1985,"","private"
"2026/09/03","17163.6","A","NC","NR37","TRENTON","US","NORTH CAROLINA","ALAMANCE","SUTER FLD",35,3,26,"N",35.05722222,77,27,43,"W",-77.46194444,35,"E",NA,"",NA,"","private"
"2026/09/03","17165.1","H","NC","NC62","TROY","US","NORTH CAROLINA","MONTGOMERY","BIRDS NEST",35,21,28.507,"N",35.35791861,79,53,22.163,"W",-79.88948972,650,"S",6,"W",1985,"","private"
"2026/09/03","17165.2","A","NC","56NC","TRYON","US","NORTH CAROLINA","POLK","WHEAT FLD",35,12,24,"N",35.20666666,82,1,55,"W",-82.03194444,960,"E",6,"W",2000,"","private"
"2026/09/03","17165.21","A","NC","NC76","TRYON","US","NORTH CAROLINA","POLK","RONDO",35,13,17.5,"N",35.22152777,82,12,11,"W",-82.20305555,1050,"E",NA,"",NA,"","private"
"2026/09/03","17165.7","H","NC","37NC","VALDESE","US","NORTH CAROLINA","BURKE","VALDESE GENERAL HOSPITAL",35,44,48.94,"N",35.74692777,81,31,21.55,"W",-81.52265277,1250,"E",6,"W",1995,"","private"
"2026/09/03","17172.","A","NC","AFP","WADESBORO","US","NORTH CAROLINA","ANSON","ANSON COUNTY/JEFF CLOUD FLD",35,1,14.296,"N",35.02063777,80,4,37.623,"W",-80.0771175,299.7,"S",7,"W",2000,"KAFP","public"
"2026/09/03","17172.1","H","NC","15NR","WADESBORO","US","NORTH CAROLINA","ANSON","ANSON HOSPITAL",34,58,37.4,"N",34.97705555,80,6,36.75,"W",-80.11020833,331,"E",NA,"",NA,"","private"
"2026/09/03","17178.","A","NC","NC48","WALLACE","US","NORTH CAROLINA","DUPLIN","SAFE FLD",34,45,0.39,"N",34.75010833,78,3,41.47,"W",-78.06151944,50,"E",7,"W",1985,"","private"
"2026/09/03","17178.1","A","NC","ACZ","WALLACE","US","NORTH CAROLINA","PENDER","WALLACE-PENDER",34,43,4.32,"N",34.71786666,78,0,13.968,"W",-78.00388,38.1,"S",9,"W",2000,"KACZ","public"
"2026/09/03","17178.3","A","NC","N63","WALNUT COVE","US","NORTH CAROLINA","STOKES","MEADOW BROOK FLD",36,18,7.295,"N",36.30202638,80,8,59.415,"W",-80.1498375,647,"E",6,"W",1980,"","public"
"2026/09/03","17178.32","A","NC","13NR","WALNUT COVE","US","NORTH CAROLINA","STOKES","DUSENBURY FLD",36,17,51,"N",36.2975,80,9,42,"W",-80.16166666,646,"E",NA,"",NA,"","private"
"2026/09/03","17178.4","A","NC","7NC7","WALNUT COVE","US","NORTH CAROLINA","STOKES","LEWIS AIRSTRIP",36,22,47.62,"N",36.37989444,80,10,25.765,"W",-80.17382361,1022,"E",6,"W",1985,"","private"
"2026/09/03","17184.15","H","NC","NR84","WARRENTON","US","NORTH CAROLINA","WARREN","WARREN RECREATIONAL COMPLEX",36,26,4.1495,"N",36.43448597,78,7,47.9615,"W",-78.1299893,438,"E",NA,"",NA,"","private"
"2026/09/03","17190.","A","NC","OCW","WASHINGTON","US","NORTH CAROLINA","BEAUFORT","WASHINGTON-WARREN",35,34,18.978,"N",35.57193833,77,2,59.151,"W",-77.04976416,37.7,"S",8,"W",1985,"KOCW","public"
"2026/09/03","17191.","A","NC","N52","WAXHAW","US","NORTH CAROLINA","UNION","JAARS-TOWNSEND",34,51,49.74,"N",34.86381666,80,44,52.74,"W",-80.74798333,602,"S",7,"W",2000,"","public"
"2026/09/03","17191.03","H","NC","20NR","WAXHAW","US","NORTH CAROLINA","UNION","CHS WAXHAW",34,57,47,"N",34.96305555,80,45,48.6,"W",-80.7635,588,"E",NA,"",NA,"","private"
"2026/09/03","17191.1","A","NC","2NC1","WAXHAW","US","NORTH CAROLINA","UNION","HAWK'S KNOLL",34,59,50.78,"N",34.99743888,80,48,5.91,"W",-80.80164166,695,"E",5,"W",1985,"","private"
"2026/09/03","17191.11","A","NC","07NC","WAXHAW","US","NORTH CAROLINA","UNION","HAWKS MEADOW",34,49,59.535,"N",34.83320416,80,45,4.242,"W",-80.75117833,625,"E",5,"W",1990,"","private"
"2026/09/03","17194.","A","NC","NC21","WEDDINGTON","US","NORTH CAROLINA","UNION","AERO PLANTATION",34,59,30.537,"N",34.99181583,80,44,54.25,"W",-80.74840277,634,"S",5,"W",1985,"","private"
"2026/09/03","17204.5","A","NC","6NC5","WHITAKERS","US","NORTH CAROLINA","EDGECOMBE","THOMPSON FARMS",36,1,29.9,"N",36.02497222,77,39,33.82,"W",-77.65939444,100,"E",8,"W",1980,"","private"
"2026/09/03","17204.51","H","NC","NR89","WHITAKERS","US","NORTH CAROLINA","EDGECOMBE","STEVE'S FARM",36,2,41,"N",36.04472222,77,36,6,"W",-77.60166666,104,"E",NA,"",NA,"","private"
"2026/09/03","17204.8","A","NC","NC86","WHITE OAK","US","NORTH CAROLINA","BLADEN","ROCKING A FARM",34,44,1,"N",34.73361111,78,45,11,"W",-78.75305555,58,"E",7,"W",1990,"","private"
"2026/09/03","17205.1","A","NC","CPC","WHITEVILLE","US","NORTH CAROLINA","COLUMBUS","COLUMBUS COUNTY RGNL",34,16,22.334,"N",34.27287055,78,42,53.954,"W",-78.71498722,99.4,"S",7,"W",1985,"KCPC","public"
"2026/09/03","17205.11","A","NC","NR82","WHITEVILLE","US","NORTH CAROLINA","COLUMBUS","CAROLINA BAY",34,5,50,"N",34.09722222,78,43,11,"W",-78.71972222,50,"E",NA,"",NA,"","private"
"2026/09/03","17205.12","H","NC","NC78","WHITEVILLE","US","NORTH CAROLINA","COLUMBUS","COLUMBUS RGNL MEDICAL CENTER",34,20,14.838,"N",34.337455,78,41,46.9355,"W",-78.69637097,71,"E",NA,"",NA,"","private"
"2026/09/03","17208.1","U","NC","85NC","WHITTIER","US","NORTH CAROLINA","JACKSON","REAGANS ROOST",35,25,45.1,"N",35.42919444,83,10,0.42,"W",-83.16678333,2080,"E",5,"W",2000,"","private"
"2026/09/03","17209.","A","NC","MCZ","WILLIAMSTON","US","NORTH CAROLINA","MARTIN","MARTIN COUNTY",35,51,43.894,"N",35.86219277,77,10,41.522,"W",-77.17820055,74.9,"S",9,"W",1990,"KMCZ","public"
"2026/09/03","17210.01","H","NC","84NR","FUQUAY-VARINA","US","NORTH CAROLINA","WAKE","DUPREE WILLOW",35,34,57.28,"N",35.58257777,78,43,10.19,"W",-78.71949722,368,"E",NA,"",NA,"","private"
"2026/09/03","17211.","A","NC","ILM","WILMINGTON","US","NORTH CAROLINA","NEW HANOVER","WILMINGTON INTL",34,16,16.145,"N",34.27115138,77,54,10.406,"W",-77.90289055,31.7,"S",10,"W",2020,"KILM","public"
